lunch_id,flight_number,flight_name,flight_success,date_utc,lunchpad_id,lunchpad_name,lunchpad_longitudes,lunchpad_latitude,payloads_Mass,Orbit,core_id,core_serial,core_block,core_flight_cunt,core_landing_attempt,core_landing_success,core_landing_type,core_is_legs,core_is_reused,core_reuse_count,core_status,landpad_id,landpad_name,landpad_longitudes,landpad_latitude
62a9f8b320413d2695d8871b,178,Starlink 4-26 (v1.5),TRUE,10/08/2022,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,13260,VLEO,627843db57b51b752c5c5a54,B1073,5,3,TRUE,TRUE,ASDS,TRUE,TRUE,2,active,5e9e3033383ecb075134e7cd,ASOG,-118.262015,33.7291858
62f3b4ff0f55c50e192a4e6b,179,Starlink 3-3 (v1.5),TRUE,13/08/2022,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,13260,VLEO,5f57c53d0622a6330279009f,B1061,5,10,TRUE,TRUE,ASDS,TRUE,TRUE,9,active,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
62f3b5200f55c50e192a4e6c,180,Starlink 4-27 (v1.5),TRUE,20/08/2022,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,13260,VLEO,5f57c5440622a633027900a0,B1062,5,9,TRUE,TRUE,ASDS,TRUE,TRUE,8,active,5e9e3033383ecb075134e7cd,ASOG,-118.262015,33.7291858
62f3b5290f55c50e192a4e6d,181,Starlink 4-23 (v1.5),TRUE,28/08/2022,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,13260,VLEO,61c1ef45a4a2462678cbf45d,B1069,5,2,TRUE,TRUE,ASDS,TRUE,TRUE,1,active,5e9e3033383ecb075134e7cd,ASOG,-118.262015,33.7291858
62f3b53a0f55c50e192a4e6f,182,Starlink 3-4 (v1.5),TRUE,31/08/2022,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,13260,VLEO,5f57c54a0622a633027900a1,B1063,5,7,TRUE,TRUE,ASDS,TRUE,TRUE,6,active,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
62f3b5330f55c50e192a4e6e,183,Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,TRUE,5/09/2022,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,13440,VLEO,5e9e28a6f359183c413b265d,B1052,5,7,TRUE,TRUE,ASDS,TRUE,TRUE,6,active,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
62a9f89a20413d2695d8871a,184,Starlink 4-2 (v1.5) & Blue Walker 3,TRUE,11/09/2022,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,14760,VLEO,5e9e28a7f3591817f23b2663,B1058,5,14,TRUE,TRUE,ASDS,TRUE,TRUE,13,active,5e9e3033383ecb075134e7cd,ASOG,-118.262015,33.7291858
63161329ffc78f3b8567070b,185,Starlink 4-34 (v1.5),TRUE,17/09/2022,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,13260,VLEO,60b800111f83cc1e59f16438,B1067,5,6,TRUE,TRUE,ASDS,TRUE,TRUE,5,active,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
63161339ffc78f3b8567070c,186,Starlink 4-35 (v1.5),TRUE,25/09/2022,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,13260,VLEO,627843d657b51b752c5c5a53,B1072,5,4,TRUE,TRUE,ASDS,TRUE,TRUE,0,active,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
62dd70d5202306255024d139,187,Crew-5,TRUE,6/10/2022,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,6850,ISS,633d9da635a71d1d9c66797b,B1077,5,1,TRUE,TRUE,ASDS,TRUE,FALSE,0,active,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
